=================================================================
  Pythagorean Quadruples + Magic Square Solver (v3, exhaustive)
  d_max=10000,  min_triples=1
=================================================================

Distinct d values : 9963
Total triples     : 5595355

Running exhaustive search...
-----------------------------------------------------------------
  [358/9963] d=381  (80 triples)... score=6/8
  [359/9963] d=382  (24 triples)... score=6/8
  [360/9963] d=383  (48 triples)... score=6/8
  [361/9963] d=385  (72 triples)... score=6/8
  [362/9963] d=386  (23 triples)... score=6/8
  [363/9963] d=387  (92 triples)... score=6/8
  [364/9963] d=388  (11 triples)... score=4/8
  [365/9963] d=389  (48 triples)... score=6/8
  [366/9963] d=390  (38 triples)... score=6/8
  [367/9963] d=391  (52 triples)... score=6/8
  [368/9963] d=392  (8 triples)... score=4/8
  [369/9963] d=393  (81 triples)... score=6/8
  [370/9963] d=394  (24 triples)... score=6/8
  [371/9963] d=395  (50 triples)... score=6/8
  [372/9963] d=396  (24 triples)... score=6/8
  [373/9963] d=397  (49 triples)... score=6/8
  [374/9963] d=398  (25 triples)... score=6/8
  [375/9963] d=399  (116 triples)... score=6/8
  [376/9963] d=400  (2 triples)... score=2/8
  [377/9963] d=401  (49 triples)... score=6/8
  [378/9963] d=402  (41 triples)... score=6/8
  [379/9963] d=403  (53 triples)... score=6/8
  [380/9963] d=404  (12 triples)... score=4/8
  [381/9963] d=405  (98 triples)... score=6/8
  [382/9963] d=406  (32 triples)... score=6/8
  [383/9963] d=407  (59 triples)... score=6/8
  [384/9963] d=408  (8 triples)... score=4/8
  [385/9963] d=409  (50 triples)... score=6/8
  [386/9963] d=410  (23 triples)... score=6/8
  [387/9963] d=411  (83 triples)... score=6/8
  [388/9963] d=412  (13 triples)... score=5/8
  [389/9963] d=413  (68 triples)... score=6/8
  [390/9963] d=414  (52 triples)... score=6/8
  [391/9963] d=415  (52 triples)... score=6/8
  [392/9963] d=416  (1 triples)... score=1/8
  [393/9963] d=417  (86 triples)... score=6/8
  [394/9963] d=418  (32 triples)... score=6/8
  [395/9963] d=419  (52 triples)... score=6/8
  [396/9963] d=420  (27 triples)... score=6/8
  [397/9963] d=421  (52 triples)... score=6/8
  [398/9963] d=422  (26 triples)... score=6/8
  [399/9963] d=423  (103 triples)... score=6/8
  [400/9963] d=424  (6 triples)... score=4/8
  [401/9963] d=425  (49 triples)... score=6/8
  [402/9963] d=426  (45 triples)... score=6/8
  [403/9963] d=427  (68 triples)... score=6/8
  [404/9963] d=428  (13 triples)... score=6/8
  [405/9963] d=429  (103 triples)... score=6/8
  [406/9963] d=430  (27 triples)... score=6/8
  [407/9963] d=431  (54 triples)... score=6/8
  [408/9963] d=432  (5 triples)... score=4/8
  [409/9963] d=433  (53 triples)... score=6/8
  [410/9963] d=434  (37 triples)... score=6/8
  [411/9963] d=435  (88 triples)... score=6/8
  [412/9963] d=436  (13 triples)... score=6/8
  [413/9963] d=437  (65 triples)... score=6/8
  [414/9963] d=438  (43 triples)... score=6/8
  [415/9963] d=439  (55 triples)... score=6/8
  [416/9963] d=440  (7 triples)... score=4/8
  [417/9963] d=441  (137 triples)... score=7/8
  [418/9963] d=442  (25 triples)... score=6/8
  [419/9963] d=443  (55 triples)... score=6/8
  [420/9963] d=444  (22 triples)... score=6/8
  [421/9963] d=445  (53 triples)... score=6/8
  [422/9963] d=446  (28 triples)... score=6/8
  [423/9963] d=447  (92 triples)... score=6/8
  [424/9963] d=448  (1 triples)... score=1/8
  [425/9963] d=449  (55 triples)... score=6/8
  [426/9963] d=450  (51 triples)... score=6/8
  [427/9963] d=451  (64 triples)... score=6/8
  [428/9963] d=452  (13 triples)... score=6/8
  [429/9963] d=453  (95 triples)... score=6/8
  [430/9963] d=454  (28 triples)... score=6/8
  [431/9963] d=455  (71 triples)... score=6/8
  [432/9963] d=456  (11 triples)... score=6/8
  [433/9963] d=457  (56 triples)... score=6/8
  [434/9963] d=458  (28 triples)... score=6/8
  [435/9963] d=459  (107 triples)... score=6/8
  [436/9963] d=460  (15 triples)... score=5/8
  [437/9963] d=461  (57 triples)... score=6/8
  [438/9963] d=462  (71 triples)... score=6/8
  [439/9963] d=463  (58 triples)... score=6/8
  [440/9963] d=464  (3 triples)... score=3/8
  [441/9963] d=465  (102 triples)... score=6/8
  [442/9963] d=466  (28 triples)... score=6/8
  [443/9963] d=467  (58 triples)... score=6/8
  [444/9963] d=468  (26 triples)... score=6/8
  [445/9963] d=469  (77 triples)... score=6/8
  [446/9963] d=470  (30 triples)... score=6/8
  [447/9963] d=471  (97 triples)... score=6/8
  [448/9963] d=472  (7 triples)... score=4/8
  [449/9963] d=473  (71 triples)... score=6/8
  [450/9963] d=474  (50 triples)... score=6/8
  [451/9963] d=475  (64 triples)... score=6/8
  [452/9963] d=476  (18 triples)... score=6/8
  [453/9963] d=477  (111 triples)... score=6/8
  [454/9963] d=478  (30 triples)... score=6/8
  [455/9963] d=479  (60 triples)... score=6/8
  [456/9963] d=480  (2 triples)... score=2/8
  [457/9963] d=481  (58 triples)... score=6/8
  [458/9963] d=482  (29 triples)... score=6/8
  [459/9963] d=483  (140 triples)... score=6/8
  [460/9963] d=484  (17 triples)... score=6/8
  [461/9963] d=485  (58 triples)... score=6/8
  [462/9963] d=486  (58 triples)... score=6/8
  [463/9963] d=487  (61 triples)... score=6/8
  [464/9963] d=488  (7 triples)... score=4/8
  [465/9963] d=489  (101 triples)... score=6/8
  [466/9963] d=490  (40 triples)... score=6/8
  [467/9963] d=491  (61 triples)... score=6/8
  [468/9963] d=492  (23 triples)... score=6/8
  [469/9963] d=493  (59 triples)... score=6/8
  [470/9963] d=494  (33 triples)... score=6/8
  [471/9963] d=495  (134 triples)... score=6/8
  [472/9963] d=496  (4 triples)... score=4/8
  [473/9963] d=497  (82 triples)... score=6/8
  [474/9963] d=498  (51 triples)... score=6/8
  [475/9963] d=499  (62 triples)... score=6/8
  [476/9963] d=500  (14 triples)... score=5/8
  [477/9963] d=501  (105 triples)... score=6/8
